Symbol,Name,ReportDate,FiscalDateEnding,Estimate,Currency
A,Agilent Technologies Inc,2023-11-20,2023-10-31,1.35,USD
AAL,American Airlines Group Inc,2023-10-19,2023-09-30,0.33,USD
AAPL,Apple Inc,2023-10-25,2023-09-30,1.39,USD
ABBV,Abbvie Inc,2023-10-27,2023-09-30,2.88,USD
ABNB,Airbnb Inc - Class A,2023-10-30,2023-09-30,1.96,USD
ABT,Abbott Laboratories,2023-10-18,2023-09-30,1.09,USD
ACGL,Arch Capital Group Ltd,2023-10-30,2023-09-30,1.36,USD
ACN,Accenture plc - Class A,2023-12-19,2023-11-30,3.14,USD
ADBE,Adobe Inc,2023-12-13,2023-11-30,4.14,USD
ADI,Analog Devices Inc,2023-11-20,2023-10-31,2.01,USD
ADM,Archer Daniels Midland Company,2023-10-23,2023-09-30,1.53,USD
ADP,Automatic Data Processing Inc,2023-10-25,2023-09-30,2.02,USD
ADSK,Autodesk Inc,2023-11-20,2023-10-31,1.99,USD
AEE,Ameren Corp,2023-11-01,2023-09-30,1.83,USD
AEP,American Electric Power Company Inc,2023-10-25,2023-09-30,1.77,USD
AES,AES Corp,2023-11-02,2023-09-30,0.42,USD
AFL,Aflac Inc,2023-11-01,2023-09-30,1.46,USD
AIG,American International Group Inc,2023-11-01,2023-09-30,1.54,USD
AIZ,Assurant Inc,2023-10-31,2023-09-30,2.23,USD
AJG,Arthur J. Gallagher & Company,2023-10-26,2023-09-30,1.96,USD
AKAM,Akamai Technologies Inc,2023-11-06,2023-09-30,1.5,USD
ALB,Albemarle Corp,2023-11-01,2023-09-30,4.13,USD
ALGN,Align Technology Inc,2023-10-25,2023-09-30,2.27,USD
ALK,Alaska Air Group Inc,2023-10-18,2023-09-30,1.92,USD
ALL,Allstate Corp (The),2023-11-01,2023-09-30,0.6,USD
ALLE,Allegion plc,2023-10-31,2023-09-30,1.73,USD
AMAT,Applied Materials Inc,2023-11-16,2023-10-31,2,USD
AMCR,Amcor Plc,2023-10-30,2023-09-30,0.15,USD
AMD,Advanced Micro Devices Inc,2023-10-30,2023-09-30,0.68,USD
AME,Ametek Inc,2023-10-30,2023-09-30,1.58,USD
AMGN,AMGEN Inc,2023-11-01,2023-09-30,4.67,USD
AMP,Ameriprise Financial Inc,2023-10-23,2023-09-30,7.64,USD
AMT,American Tower Corp,2023-10-26,2023-09-30,1.14,USD
AMZN,Amazon.com Inc,2023-10-25,2023-09-30,0.58,USD
ANET,Arista Networks Inc,2023-10-30,2023-09-30,1.58,USD
ANSS,Ansys Inc,2023-10-31,2023-09-30,1.26,USD
AON,Aon plc. - Class A,2023-10-26,2023-09-30,2.21,USD
AOS,A.O. Smith Corp,2023-10-26,2023-09-30,0.77,USD
APA,APA Corporation,2023-11-01,2023-09-30,1.1,USD
APD,Air Products & Chemicals Inc,2023-11-01,2023-09-30,3.12,USD
APH,Amphenol Corp - Class A,2023-10-25,2023-09-30,0.74,USD
APTV,Aptiv PLC,2023-11-02,2023-09-30,1.21,USD
ARE,Alexandria Real Estate Equities Inc,2023-10-23,2023-09-30,1.14,USD
ATO,Atmos Energy Corp,2023-11-08,2023-09-30,0.7,USD
ATVI,Activision Blizzard Inc,2023-11-06,2023-09-30,0.88,USD
AVB,Avalonbay Communities Inc,2023-10-25,2023-09-30,1.26,USD
AVGO,Broadcom Inc,2023-12-06,2023-10-31,10.95,USD
AVY,Avery Dennison Corp,2023-10-24,2023-09-30,2.1,USD
AWK,American Water Works Co. Inc,2023-11-01,2023-09-30,1.63,USD
AXON,Axon Enterprise Inc,2023-11-06,2023-09-30,0.76,USD
AXP,American Express Company,2023-10-20,2023-09-30,2.95,USD
AZO,Autozone Inc,2023-12-04,2023-11-30,30.96,USD
BA,Boeing Company,2023-10-25,2023-09-30,-3.04,USD
BAC,Bank Of America Corp,2023-10-17,2023-09-30,0.8,USD
BALL,Ball Corp,2023-11-02,2023-09-30,0.81,USD
BAX,Baxter International Inc,2023-11-02,2023-09-30,0.67,USD
BBWI,Bath & Body Works Inc,2023-11-14,2023-10-31,0.35,USD
BBY,Best Buy Co. Inc,2023-11-20,2023-10-31,1.19,USD
BDX,Becton Dickinson & Company,2023-11-08,2023-09-30,3.43,USD
BEN,Franklin Resources Inc,2023-10-31,2023-09-30,0.61,USD
BG,Bunge Ltd,2023-10-26,2023-09-30,2.43,USD
BIIB,Biogen Inc,2023-10-23,2023-09-30,3.96,USD
BIO,Bio-Rad Laboratories Inc - Class A,2023-10-26,2023-09-30,2.82,USD
BK,Bank Of New York Mellon Corp,2023-10-17,2023-09-30,1.14,USD
BKNG,Booking Holdings Inc,2023-10-31,2023-09-30,67.78,USD
BKR,Baker Hughes Co - Class A,2023-10-25,2023-09-30,0.4,USD
BLK,Blackrock Inc,2023-10-13,2023-09-30,8.56,USD
BMY,Bristol-Myers Squibb Company,2023-10-26,2023-09-30,1.79,USD
BR,Broadridge Financial Solutions Inc,2023-10-31,2023-09-30,0.96,USD
BRO,Brown & Brown Inc,2023-10-23,2023-09-30,0.62,USD
BSX,Boston Scientific Corp,2023-10-26,2023-09-30,0.48,USD
BWA,BorgWarner Inc,2023-11-02,2023-09-30,0.91,USD
BX,Blackstone Inc,2023-10-19,2023-09-30,1.03,USD
BXP,Boston Properties Inc,2023-11-01,2023-09-30,0.67,USD
C,Citigroup Inc,2023-10-13,2023-09-30,1.19,USD
CAG,Conagra Brands Inc,2024-01-03,2023-11-30,0.7942,USD
